"drug name","hard drug","aliases","related terms"
"cocaineTBD",True,"['crack','coca','coca leaves','toot','roxyanne','rmv powder','bernie flakes','bernie','gold dust','coke','florida snow','lady snow','mama coca','nose candy','society high','blowcaine','dirty basing','dirty fentanyl']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"codeine",False,"['captain cody','cody']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"hydrocodone",True,"['vicodine','vico','needle candy’,'hydro','tabs','norco']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"methadone",True,"['biodone','physepton','dollie']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"methylphenidate",False,"['concerta','ritalin','methylin','vitamin r','r ball’,'kiddie cocaine','kiddie coke','mph','poor man cocaine','r-ball','r-pop','rids','rittys']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"methamphetamine",True,"['crank','speed','jib','crissy','pookie','tweek','crystal','g-funk','l.a. ice','lemons','meth','mexican crack','mexican crank','shaved ice','soap dope','super ice’, 'uppers']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"morphine",True,"['ms contin','god drug','unkie']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"opium",False,"['poppy','tincture','powder','poppy straw’,'dopium'‚ 'opio','pen yan','pin gon','pin yen','midnight oil']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"oxycodone",True,"['oxycontin','oxy','percocet','endocet','roxicodone','roxy','hillbilly heroin','percs','oxies']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"steroids",False,"[ 'gym candy','roid','pumper','andro','arnie','hgh','anabolic']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
