"drug name","hard drug","aliases","related terms"
"mecloqualone",False,"['nubarene']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"mescaline",False,"['peyote','black button','britton','button','cactus','green button','half moon','hikori','hikuli','hyatari','nubs','seni','shaman','big chief','black button','blue caps','buttons','love flip','media luna','mescal','mescapade','mezcakuba','microdot','moon','san pedro','topi','tops']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"methaqualone",False,"['quaalude','parest','somnafac','optimil','mandrax']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"psilocybin",False,"['hallucinogens','amt','magic mushrooms','mushrooms','psychedelic','shrooms','psilocybin','psilocin','nutmeg','psychedelic','alice','boomers','buttons','caps','champiñones','hongos','mushie','mush','pizza toppings','shroom','tweeze']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"amobarbital",True,"['amytal','butalbital,'barbiturate','fiorinal', tuinal','phenibut','barb','barbie']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"amphetamine",True,"['dexedrine', ,'stimulants','stims','adderall','obetrol','vyvanse','elvanse','addie','addy','zing','paste','amy','amps','bam','b-bombs','beans','bennies','benz','black and whites','black beauties','black birds','black bombers','black mollies','blacks','blue boys','bombita','brain ticklers','brownies','bumblebees','cartwheels','chalk','chicken powder','chochos','christina','chunk','co-pilot','coasts to coasts','crisscross','cross roads','cross tops','debs','dexies','diablos','diamonds','diet pills','dolls','dominoes','double cross','drivers','fives','footballs','french blues','goofballs','greenies','head drugs','hearts','horse heads','in- between','jelly babies','jelly beans','jolly beans','jugs','leapers','lid poppers','lightening','little bombs','marathons','mini beans','mini bennies','morning shot','nuggets','oranges','pastillas','peaches','pep pills','pink hearts','pixies','pollutants','purple hearts','rhythm','rippers','road dope','roses','rueda','snaps','snow pallets','sparkle plenty','sparklers','speed','splash','sweeties','sweets','tens','thrusters','tr-6s','truck drivers','turnabouts','uppers','wake ups','west coast turnarounds','wheels','whiffle dust','white crosses','whites','zoomers','kibbles and bits','acelerador','amy','chocolates','coast-to-coasts','crosses','dulces','flour','geeked up','in-betweens','la turnaround','pastas','pepper','pingas','a-train','abby','christmas trees','co-pilots','smart pills','smarties','study buddies','study skittles']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"cocaine",True,"['crack','coca','coca leaves','toot','llello','roxyanne','777','a-1','all-american drug','angel powder','angie','animals','audi','aunt nora','azucar','baby powder','barrato','basuco','bazooka','beach','belushi','bernice','bernie's flakes','bernie's gold dust','big bloke','big c','big flake','big rush','billie hoke','bird','birdie powder','blanca nieves','blanco','blast','blizzard','blonde','blocks','blow','bmw','bobo','bolitas','bolivian marching powder','bombita','bouncing powder','brisa','c-dust','caca','cadillac','california pancakes','calves','candy','car','carney','carrie nation','cars','case','cebolla','cecil','cement','charlie','chevy','cheyenne','chinos','chiva','clear kind','clear tires','coca-cola','cocazo','coconut','coke','cola','colorado','connie','cookie','crow','crusty treats','cuadro','death valley','designer jeans','devil's dandruff','diente','dienton','dona blanca','double bubble','dove','dream','dulces','duracell','dust','escama','escorpino','falopa','fish','flake','flea market jeans','florida snow','flour','food','foolish powder','fox','freeze','friskie powder','frula','gabacho','galaxy','gallos','gato','gift of the sun','gin','girl','girlfriend','glad stuff','gold dust','green gold','gringa','grout','gueros','guitar','hamburger','happy dust','happy powder','happy trails','heaven','heaven dust','henry viii','hooter','hundai','hunter','icing','inca message','izzy','jam','jeep','jelly','john deere','joy flakes','joy powder','junk','king's habit','kordell','lady','lady snow','late night','lavada','leaf','line','loaf','love affair','maca flour','mama coca','mandango','maradona','mayo','melcocha','mercedes','milk','milonga','mojo','mona lisa','mosquitos','movie star drug','mujer','napkin','nieve','niña','nose candy','nose powder','old lady','oyster stew','paint','paloma','palomos','pantalones','papas','paradise','paradise white','parrot','pearl','pedrito','perico','peruvian','peruvian flake','peruvian lady','pescado','pez','pillow','pimp','pollo','polvo','powder','powder diamonds','puritain','queso blanco','racehorse charlie','rambo','refresco','refrescas','reindeer dust','rims','rocky mountain','rolex','rooster','scale','schmeck','schoolboy','scorpion','scottie','seed','serpico','sierra','shirt','ski equipment','sleigh ride','snow','snow bird','snow cone','snow white','snowball','snowflake','society high','soda','soditas','soft','space','speedball','stardust','star spangled powder','studio fuel','suave','sugar','superman','sweet stuff','talco','talquito','tamales','taxi','tecate','teenager','teeth','tequila','thunder','tire','tonto','tortes','toyota','t-shirts','turkey','tutti-frutti','vaquita','wash','wet','whack','white','white bitch','white cross','white girl','white goat','white horse','white lady','white mercedes benz','white mosquito','white paint','white powder','white root','white shirt','white t','whitey','whiz bang','wings','wooly','work','yayo','yeyo','yoda','zip','51s','151s','501s','apple jack','baby t','base','baseball','beam me up','beautiful boulders','beemer','bill blass','bings','bj','black rock','blowcaine','blowout','blue','bolo','bomb','bone crusher','bone','boo-boo','boulder','boy','breakfast of champions','bubble gum','bullion','bump','caps','casper the ghost','caviar','cd','cheap basing','chewies','chingy','clicker','climax','cloud','cloud nine','cookies','crib','crunch & munch','devil','devil smoke','dice','dime special','dirty basing','dirty fentanyl','double yoke','durin','eastside player','egg','eye opener','famous dimes','fat bags','fifty-one','fish scales','freebase','french fries','garbage rock','geek','glo','gold','golf ball','gravel','great white hope','grit','groceries','hail','hamburger helper','hard','hotcakes','hubba','ice','ice cubes','issues','jelly beans','johnson','kangaroo','kokoma','kryptonite','love','mixed jive','moon rock','nickel','nuggets','one-fifty-one','paste','pebbles','pee wee','piedras','pile','pony','primo','quarters','raw','ready rock','red caps','rip','roca','rock','rock attack','rocks of hell','rocky iii','rox','roxanne','roz','schoolcraft','scotty','scramble','scruples','seven-up','sherms','sight ball','slab','sleet','smoke','speed boat','square time bomb','stone','sugar block','takeover','tension','tissue','top gun','troop','ultimate','uzi','wave','white ball','white ghost','white sugar','white tornado','wrecking crew','yahoo','yale','yimyom','7','62','77','777','921','adidas','ancla','apache','apodo','arriba','big bird','board','booger sugar','bose','caballo','canelon','chica','chicanitas','cielo','comida','comida dulce','cosa','coso','cosos','diamonds','diesel','diosa blanca','double letters','durazno','duro','fef1','fichas','fiesta','fire','fish scale','funtime','gringito','guerillo','h1','hai hit','heavy one','hen','hh','hhj','high heat','hmh','ice cream','jaime blanco','jaula','juguetes','jump rope','k13','la familia','libreta','lv','madera','manita','marbol','material','mayback','media lata','monte','morro','muchacha','muebles','normal','paleta','personal','peta','pichicata','pingas','pingos','pintura blanca','poli','puma','quadros','regular kind','regular work','richie','rolex hh','sneeze','sniff','special','tabique','tablas','tortuga','tubo','tucibi','white dove','white rock','white wall tires','zapato','booboo','crc','crunch and munch','nickle','up']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"codeine",False,"['captain cody','cody']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"hydrocodone",True,"['vicodin','vico','vic','idiot pill','vike','dillie','needle candy','357s','dro','fluff','hydro','tabs','norco']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
"methadone",True,"['biodone','physepton','dollie','fizzie','tootsie roll']","['alkie','boozehead','doctor shopping','buzz','trip','nod','OD','deuce','stoner','high','hooked','shoot up','zonk','good stuff','junkie','pothead','crackhead','crackie','get clean','sober','inebriated','intoxicated','hammered','relapse','schedule I','schedule II','class b','class c','class a','on the rocks','DUI']"
